Redes de computadores;Cadeira, na qual vimos e entendemos como funcionar toda rede de conexão da internet, conhecendo seus principios de estruturas fisicas e logicas. Vendo endereçamentos ip, tipos de rede...
Interação Humano Computador - IHC;Cadeira, na qual vimos como devemos se comportar e ter o cuidado na criação de um software para nosso cliente final, onde mesmo deve ser de simples entedimento e interação. Possuir telas objetivas e sem ambiguidades...
Introdução a Programação;Cadeira, na qual vimos a base de programação, onde seu objetivo teve como cochecermos as ide's que podemos estar utilizando, conhecendo a estrutura do codigo, lendo e sabendo interpretar um codigo, importando bibliotecas...base essa para estarmos utlizando em varias linguagens.
Topicos Essenciais para Programação;Cadeira, na qual vimos modelos e ferramentas que os desenvolvedores e operantes da area da tecnologia trabalham e usam em seu dia a dia, como metodologias ageis, kanban, repositorio (github). Foi abordado tambem as areas que sao existentes na tecnologia, dando assim um norte de direcionamento.
Front end;Cadeira, na qual vimos a base de paginas html, onde foi abordado desde o basico da criação de uma pagina, ate a estilização da mesma ( CSS ), tambem abordado pontos de repositorio e git github.
Logica de Programação;Cadeira, na qual vimos e entendemos a logica do desenvolvimento de software, onde vimos regras e calculos existentes, para estarmos inserido e enquadrando em nossos codigos. Vendo asim portas logicas, tabela verdade...
Arquitetura de Computador;Cadeira, na qual vimos desde de quando surgiu a primeira maquina computadorizada, entendendo parte internas do computador, vendo tambem parte logica do mesmo. Assim dando entendimento a como a maquina funciona.
